username,row,total_selected_owned,other_owned_count,included_share,dominant_taste_dimension,dominant_taste_share,top_other_community_type,top_other_community_type_count,top_other_community_type_share,top_other_manual_label,top_other_manual_label_count,top_other_manual_label_share
RenaissanceMom,1372,369,131,0.64498645,puzzle_nature_tableau_builders,0.18428184,temporal_artifact,59,0.45038167938931295,Recent releases / new-hotness cluster,59,0.45038167938931295
Freezo,1129,531,133,0.7495292,bgg_golden_age_canon,0.118644066,temporal_artifact,58,0.43609022556390975,Recent releases / new-hotness cluster,58,0.43609022556390975
Earl of Dukes,5227,492,121,0.75406504,bgg_golden_age_canon,0.20325203,temporal_artifact,58,0.4793388429752066,Recent releases / new-hotness cluster,58,0.4793388429752066
cj1582,1059,253,91,0.64031625,puzzle_nature_tableau_builders,0.12648222,temporal_artifact,58,0.6373626373626373,Recent releases / new-hotness cluster,58,0.6373626373626373
Emper,4334,268,88,0.6716418,current_heavy_euro_engine_builders,0.24626866,temporal_artifact,58,0.6590909090909091,Recent releases / new-hotness cluster,58,0.6590909090909091
RConsonni,3157,561,157,0.7201426,current_heavy_euro_engine_builders,0.21212122,bridge_cluster,57,0.3630573248407643,Recent releases / new-hotness cluster,53,0.3375796178343949
marujinho,1269,487,143,0.70636547,current_heavy_euro_engine_builders,0.19917865,temporal_artifact,57,0.3986013986013986,Recent releases / new-hotness cluster,57,0.3986013986013986
Marcelofabiano,4974,293,111,0.6211604,puzzle_nature_tableau_builders,0.16040955,temporal_artifact,57,0.5135135135135135,Recent releases / new-hotness cluster,57,0.5135135135135135
JouerFr29,2530,161,84,0.47826087,puzzle_nature_tableau_builders,0.18012422,temporal_artifact,57,0.6785714285714286,Recent releases / new-hotness cluster,57,0.6785714285714286
Maluski,5186,633,156,0.7535545,current_heavy_euro_engine_builders,0.12480253,bridge_cluster,56,0.358974358974359,Recent releases / new-hotness cluster,50,0.32051282051282054
showoo9,3311,524,140,0.73282444,bgg_golden_age_canon,0.1259542,bridge_cluster,56,0.4,Recent releases / new-hotness cluster,27,0.19285714285714287
Jessy C,729,373,134,0.64075065,puzzle_nature_tableau_builders,0.19034852,bridge_cluster,56,0.417910447761194,Fantasy adventure / deck-building gateway,17,0.12686567164179105
oskarmonk,1338,451,125,0.72283816,current_heavy_euro_engine_builders,0.18625277,temporal_artifact,56,0.448,Recent releases / new-hotness cluster,56,0.448
dbriel,1970,558,141,0.74731183,party_family_social_deduction,0.16308244,bridge_cluster,55,0.3900709219858156,Recent releases / new-hotness cluster,47,0.3333333333333333
marvac,2787,627,129,0.79425836,bgg_golden_age_canon,0.19298245,bridge_cluster,55,0.4263565891472868,Recent releases / new-hotness cluster,20,0.15503875968992248
tomlub,3522,329,99,0.69908816,current_heavy_euro_engine_builders,0.1762918,temporal_artifact,55,0.5555555555555556,Recent releases / new-hotness cluster,55,0.5555555555555556
tini_wo,5262,183,77,0.57923496,party_family_social_deduction,0.10382514,temporal_artifact,55,0.7142857142857143,Recent releases / new-hotness cluster,55,0.7142857142857143
LucaLeoncavallo,4933,696,158,0.7729885,medium_worker_placement_euros,0.15948276,bridge_cluster,54,0.34177215189873417,Recent releases / new-hotness cluster,53,0.33544303797468356
Sherpherd,5374,693,127,0.81673884,amerithrash_miniatures_lcg,0.12987013,bridge_cluster,54,0.4251968503937008,Fantasy adventure / deck-building gateway,16,0.12598425196850394
cavernsandforests,1836,449,120,0.73273945,dungeon_crawl_cooperative_campaign_adventure,0.1403118,temporal_artifact,54,0.45,Recent releases / new-hotness cluster,54,0.45
Mack1993,5214,388,113,0.7087629,dungeon_crawl_cooperative_campaign_adventure,0.18298969,temporal_artifact,54,0.4778761061946903,Recent releases / new-hotness cluster,54,0.4778761061946903
magnusrygh,4962,498,112,0.7751004,historical_wargames_conflict_strategy,0.19678715,bridge_cluster,54,0.48214285714285715,Area-control crossover / Root-Eclipse cluster,14,0.125
YogiBaldGuru,5139,299,111,0.62876254,dungeon_crawl_cooperative_campaign_adventure,0.1270903,temporal_artifact,54,0.4864864864864865,Recent releases / new-hotness cluster,54,0.4864864864864865
edgar_sbd,1100,391,110,0.71867007,bgg_golden_age_canon,0.23529412,temporal_artifact,54,0.4909090909090909,Recent releases / new-hotness cluster,54,0.4909090909090909
Dark_Mirror,1073,277,108,0.6101083,puzzle_nature_tableau_builders,0.10830325,temporal_artifact,54,0.5,Recent releases / new-hotness cluster,54,0.5
LinkTheButler,518,299,98,0.6722408,bgg_golden_age_canon,0.13043478,temporal_artifact,54,0.5510204081632653,Recent releases / new-hotness cluster,54,0.5510204081632653
andreguu,3835,192,80,0.5833334,puzzle_nature_tableau_builders,0.23958333,temporal_artifact,54,0.675,Recent releases / new-hotness cluster,54,0.675
sanz33,5503,251,78,0.689243,current_heavy_euro_engine_builders,0.2310757,temporal_artifact,54,0.6923076923076923,Recent releases / new-hotness cluster,54,0.6923076923076923
elacyenwod,2095,359,137,0.61838436,puzzle_nature_tableau_builders,0.13091922,temporal_artifact,53,0.38686131386861317,Recent releases / new-hotness cluster,53,0.38686131386861317
Oronia,3016,394,114,0.71065986,current_heavy_euro_engine_builders,0.27664974,temporal_artifact,53,0.4649122807017544,Recent releases / new-hotness cluster,53,0.4649122807017544
Vasilivanov,3590,377,109,0.71087533,current_heavy_euro_engine_builders,0.26259947,temporal_artifact,53,0.48623853211009177,Recent releases / new-hotness cluster,53,0.48623853211009177
theaaron,5057,318,100,0.6855346,bgg_golden_age_canon,0.1446541,temporal_artifact,53,0.53,Recent releases / new-hotness cluster,53,0.53
burkhomg,4034,305,95,0.6885246,dungeon_crawl_cooperative_campaign_adventure,0.16065574,temporal_artifact,53,0.5578947368421052,Recent releases / new-hotness cluster,53,0.5578947368421052
DerelictDre,4233,642,153,0.7616823,party_family_social_deduction,0.14018692,bridge_cluster,52,0.33986928104575165,Recent releases / new-hotness cluster,46,0.3006535947712418
EnumahElish,5476,557,144,0.7414722,medium_worker_placement_euros,0.14721723,bridge_cluster,52,0.3611111111111111,Recent releases / new-hotness cluster,39,0.2708333333333333
RomeroDedovsk,1380,259,96,0.6293436,current_heavy_euro_engine_builders,0.13899614,temporal_artifact,52,0.5416666666666666,Recent releases / new-hotness cluster,52,0.5416666666666666
boaz0norton,3993,218,86,0.6055046,party_family_social_deduction,0.14678898,franchise_series,52,0.6046511627906976,Unmatched / skirmish series cluster,19,0.22093023255813954
And_,3831,155,70,0.5483871,current_heavy_euro_engine_builders,0.13548388,temporal_artifact,52,0.7428571428571429,Recent releases / new-hotness cluster,52,0.7428571428571429
XcrovaxX,3687,663,152,0.7707391,medium_worker_placement_euros,0.13273002,bridge_cluster,51,0.3355263157894737,Recent releases / new-hotness cluster,24,0.15789473684210525
Lt_MH,5372,385,133,0.6545454,party_family_social_deduction,0.13246754,temporal_artifact,51,0.38345864661654133,Recent releases / new-hotness cluster,51,0.38345864661654133
jyh19930302,363,637,106,0.833595,medium_worker_placement_euros,0.15227629,bridge_cluster,51,0.4811320754716981,Fantasy adventure / deck-building gateway,17,0.16037735849056603
dancj,5440,273,96,0.64835167,dungeon_crawl_cooperative_campaign_adventure,0.11721612,temporal_artifact,51,0.53125,Recent releases / new-hotness cluster,51,0.53125
DidiBern,4250,322,93,0.7111801,current_heavy_euro_engine_builders,0.24223602,temporal_artifact,51,0.5483870967741935,Recent releases / new-hotness cluster,51,0.5483870967741935
greggles1983,4509,236,89,0.62288135,bgg_golden_age_canon,0.13983051,temporal_artifact,51,0.5730337078651685,Recent releases / new-hotness cluster,51,0.5730337078651685
RayinBGG,548,178,74,0.58426964,dungeon_crawl_cooperative_campaign_adventure,0.23595506,temporal_artifact,51,0.6891891891891891,Recent releases / new-hotness cluster,51,0.6891891891891891
garci651,1139,141,69,0.5106383,dungeon_crawl_cooperative_campaign_adventure,0.15602838,temporal_artifact,51,0.7391304347826086,Recent releases / new-hotness cluster,51,0.7391304347826086
obelonzky,1331,404,120,0.70297027,bgg_golden_age_canon,0.13861386,temporal_artifact,50,0.4166666666666667,Recent releases / new-hotness cluster,50,0.4166666666666667
chucklinus,4100,417,118,0.71702635,bgg_golden_age_canon,0.206235,temporal_artifact,50,0.423728813559322,Recent releases / new-hotness cluster,50,0.423728813559322
eduardpop,2083,409,109,0.7334963,current_heavy_euro_engine_builders,0.1393643,bridge_cluster,50,0.45871559633027525,Recent releases / new-hotness cluster,22,0.2018348623853211
yencool,5246,323,102,0.68421054,party_family_social_deduction,0.1486068,temporal_artifact,50,0.49019607843137253,Recent releases / new-hotness cluster,50,0.49019607843137253
Amorpheus,3827,287,93,0.67595816,current_heavy_euro_engine_builders,0.12195122,temporal_artifact,50,0.5376344086021505,Recent releases / new-hotness cluster,50,0.5376344086021505
simonovkm,3324,194,92,0.52577317,current_heavy_euro_engine_builders,0.19587629,temporal_artifact,50,0.5434782608695652,Recent releases / new-hotness cluster,50,0.5434782608695652
boron81,1034,301,90,0.70099664,current_heavy_euro_engine_builders,0.25249168,temporal_artifact,50,0.5555555555555556,Recent releases / new-hotness cluster,50,0.5555555555555556
redantec,5359,226,87,0.61504424,current_heavy_euro_engine_builders,0.23451327,temporal_artifact,50,0.5747126436781609,Recent releases / new-hotness cluster,50,0.5747126436781609
das_artefakt,4192,244,84,0.6557377,current_heavy_euro_engine_builders,0.1557377,temporal_artifact,50,0.5952380952380952,Recent releases / new-hotness cluster,50,0.5952380952380952
davorgekko,4205,470,161,0.6574468,dungeon_crawl_cooperative_campaign_adventure,0.15531915,temporal_artifact,49,0.30434782608695654,Recent releases / new-hotness cluster,49,0.30434782608695654
terrystad,892,545,152,0.7211009,bgg_golden_age_canon,0.14495413,bridge_cluster,49,0.3223684210526316,Recent releases / new-hotness cluster,47,0.3092105263157895
jkdamron,4706,527,151,0.7134725,dungeon_crawl_cooperative_campaign_adventure,0.11574952,temporal_artifact,49,0.32450331125827814,Recent releases / new-hotness cluster,49,0.32450331125827814
yaguiu,936,619,138,0.7770598,amerithrash_miniatures_lcg,0.15508886,bridge_cluster,49,0.35507246376811596,Recent releases / new-hotness cluster,40,0.2898550724637681
Boromir_and_Kermit,4005,297,117,0.6060606,puzzle_nature_tableau_builders,0.11784512,temporal_artifact,49,0.4188034188034188,Recent releases / new-hotness cluster,49,0.4188034188034188
dimitriosalexis,471,442,114,0.7420814,current_heavy_euro_engine_builders,0.11764706,temporal_artifact,49,0.4298245614035088,Recent releases / new-hotness cluster,49,0.4298245614035088
Dj4eN,5406,191,94,0.5078534,puzzle_nature_tableau_builders,0.14659686,temporal_artifact,49,0.5212765957446809,Recent releases / new-hotness cluster,49,0.5212765957446809
PyroBlue,3115,348,93,0.73275864,dungeon_crawl_cooperative_campaign_adventure,0.17816092,temporal_artifact,49,0.5268817204301075,Recent releases / new-hotness cluster,49,0.5268817204301075
Zison,5164,231,90,0.6103896,current_heavy_euro_engine_builders,0.18181819,temporal_artifact,49,0.5444444444444444,Recent releases / new-hotness cluster,49,0.5444444444444444
Jippy2982,2493,288,88,0.6944444,current_heavy_euro_engine_builders,0.26041666,temporal_artifact,49,0.5568181818181818,Recent releases / new-hotness cluster,49,0.5568181818181818
Quayde,5231,233,85,0.6351931,bgg_golden_age_canon,0.21888413,temporal_artifact,49,0.5764705882352941,Recent releases / new-hotness cluster,49,0.5764705882352941
wamboyil,3633,475,128,0.7305263,medium_worker_placement_euros,0.19578947,bridge_cluster,48,0.375,Recent releases / new-hotness cluster,35,0.2734375
IceScrat,4608,405,124,0.69382715,bgg_golden_age_canon,0.13580246,bridge_cluster,48,0.3870967741935484,Recent releases / new-hotness cluster,31,0.25
Brother Abe,455,337,116,0.65578634,puzzle_nature_tableau_builders,0.17804155,temporal_artifact,48,0.41379310344827586,Recent releases / new-hotness cluster,48,0.41379310344827586
Kwestor,4860,345,115,0.6666666,puzzle_nature_tableau_builders,0.1594203,temporal_artifact,48,0.41739130434782606,Recent releases / new-hotness cluster,48,0.41739130434782606
TheCookieCats,3472,432,113,0.73842597,bgg_golden_age_canon,0.15972222,bridge_cluster,48,0.4247787610619469,Recent releases / new-hotness cluster,20,0.17699115044247787
Doooot,4274,361,110,0.69529086,puzzle_nature_tableau_builders,0.1800554,temporal_artifact,48,0.43636363636363634,Recent releases / new-hotness cluster,48,0.43636363636363634
ArnaudRn0,3877,216,99,0.5416666,puzzle_nature_tableau_builders,0.125,temporal_artifact,48,0.48484848484848486,Recent releases / new-hotness cluster,48,0.48484848484848486
Eendenregen,2084,262,89,0.6603054,party_family_social_deduction,0.103053436,temporal_artifact,48,0.5393258426966292,Recent releases / new-hotness cluster,48,0.5393258426966292
Gagung,4444,263,88,0.66539925,current_heavy_euro_engine_builders,0.15969582,temporal_artifact,48,0.5454545454545454,Recent releases / new-hotness cluster,48,0.5454545454545454
DBendit,4207,308,84,0.72727275,current_heavy_euro_engine_builders,0.18506494,temporal_artifact,48,0.5714285714285714,Recent releases / new-hotness cluster,48,0.5714285714285714
kennethkenneth,4794,143,76,0.4685315,bgg_golden_age_canon,0.11188811,temporal_artifact,48,0.631578947368421,Recent releases / new-hotness cluster,48,0.631578947368421
Christiancpbcn,4095,112,63,0.4375,bgg_golden_age_canon,0.09821428,temporal_artifact,48,0.7619047619047619,Recent releases / new-hotness cluster,48,0.7619047619047619
MaxBirne,5005,116,63,0.45689654,current_heavy_euro_engine_builders,0.18103448,temporal_artifact,48,0.7619047619047619,Recent releases / new-hotness cluster,48,0.7619047619047619
johnostout,4718,531,155,0.70809793,party_family_social_deduction,0.16572505,bridge_cluster,47,0.3032258064516129,Recent releases / new-hotness cluster,34,0.21935483870967742
ankno,5438,593,152,0.7436762,dungeon_crawl_cooperative_campaign_adventure,0.13490725,bridge_cluster,47,0.3092105263157895,Recent releases / new-hotness cluster,35,0.23026315789473684
zaincmt,3727,502,137,0.72709167,party_family_social_deduction,0.14741036,bridge_cluster,47,0.34306569343065696,Recent releases / new-hotness cluster,30,0.21897810218978103
Atlasholy8,1008,661,130,0.8033283,bgg_golden_age_canon,0.18305598,bridge_cluster,47,0.36153846153846153,Recent releases / new-hotness cluster,32,0.24615384615384617
BenH1979,3946,355,128,0.6394366,current_heavy_euro_engine_builders,0.14647888,temporal_artifact,47,0.3671875,Recent releases / new-hotness cluster,47,0.3671875
karmazynowy,4779,278,98,0.64748204,current_heavy_euro_engine_builders,0.18345323,temporal_artifact,47,0.47959183673469385,Recent releases / new-hotness cluster,47,0.47959183673469385
Daiza,4164,305,92,0.6983607,current_heavy_euro_engine_builders,0.12786885,temporal_artifact,47,0.5108695652173914,Recent releases / new-hotness cluster,47,0.5108695652173914
