username,row,total_selected_owned,count__bgg_golden_age_canon,count__amerithrash_miniatures_lcg,count__dungeon_crawl_cooperative_campaign_adventure,count__current_heavy_euro_engine_builders,count__historical_wargames_conflict_strategy,count__party_family_social_deduction,count__puzzle_nature_tableau_builders,count__medium_worker_placement_euros,count__cooperative_trick_taking_deduction,count__roll_and_write_number_dice_games,count__legacy_narrative_mystery,count__other,share__bgg_golden_age_canon,share__amerithrash_miniatures_lcg,share__dungeon_crawl_cooperative_campaign_adventure,share__current_heavy_euro_engine_builders,share__historical_wargames_conflict_strategy,share__party_family_social_deduction,share__puzzle_nature_tableau_builders,share__medium_worker_placement_euros,share__cooperative_trick_taking_deduction,share__roll_and_write_number_dice_games,share__legacy_narrative_mystery,share__other,dominant_dimension,dominant_share,included_share,profile_entropy_norm,n_active_dimensions
christhomas226,56,72,3,9,4,8,21,2,3,2,5,0,0,15,0.041666668,0.125,0.055555556,0.11111111,0.29166666,0.027777778,0.041666668,0.027777778,0.06944445,0.0,0.0,0.20833333,historical_wargames_conflict_strategy,0.29166666,0.7916667,0.8048428018789358,10
dysjunct,57,76,4,2,9,4,11,4,3,1,7,2,0,29,0.05263158,0.02631579,0.118421055,0.05263158,0.14473684,0.05263158,0.039473683,0.013157895,0.09210526,0.02631579,0.0,0.38157895,other,0.38157895,0.6184211,0.789010685798593,11
Erduplou,58,17,0,1,7,1,1,0,1,0,1,0,1,4,0.0,0.05882353,0.4117647,0.05882353,0.05882353,0.0,0.05882353,0.0,0.05882353,0.0,0.05882353,0.23529412,dungeon_crawl_cooperative_campaign_adventure,0.4117647,0.7647059,0.6864520167777947,8
foolio82,59,165,27,10,1,4,7,24,2,52,1,2,0,35,0.16363636,0.060606062,0.006060606,0.024242423,0.042424243,0.14545454,0.012121212,0.3151515,0.006060606,0.012121212,0.0,0.21212122,medium_worker_placement_euros,0.3151515,0.78787875,0.7374297908274899,11
Kenig,60,27,4,3,0,0,0,11,0,0,1,0,0,8,0.14814815,0.11111111,0.0,0.0,0.0,0.4074074,0.0,0.0,0.037037037,0.0,0.0,0.2962963,party_family_social_deduction,0.4074074,0.7037037,0.5534778618247743,5
ManEatingHippo,61,47,12,2,1,3,2,3,1,9,0,0,0,14,0.25531915,0.04255319,0.021276595,0.06382979,0.04255319,0.06382979,0.021276595,0.19148937,0.0,0.0,0.0,0.29787233,other,0.29787233,0.7021277,0.728243230645885,9
tectactoe,62,86,38,1,3,0,13,3,1,3,9,0,0,15,0.44186047,0.011627907,0.034883723,0.0,0.15116279,0.034883723,0.011627907,0.034883723,0.10465116,0.0,0.0,0.1744186,bgg_golden_age_canon,0.44186047,0.82558143,0.6608173147640336,9
Toesstal_Spielt,63,46,12,0,0,2,1,1,2,10,0,2,0,16,0.26086956,0.0,0.0,0.04347826,0.02173913,0.02173913,0.04347826,0.2173913,0.0,0.04347826,0.0,0.3478261,other,0.3478261,0.6521739,0.6539696951267522,8
yuki352417682,64,25,3,0,0,2,0,5,0,6,0,0,0,9,0.12,0.0,0.0,0.08,0.0,0.2,0.0,0.24,0.0,0.0,0.0,0.36,other,0.36,0.64,0.599088857519563,5
EZBakeMicrowave,65,216,4,14,35,19,6,6,19,2,18,0,4,89,0.018518519,0.06481481,0.16203703,0.08796296,0.027777778,0.027777778,0.08796296,0.009259259,0.083333336,0.0,0.018518519,0.41203704,other,0.41203704,0.587963,0.7495146607821501,11
pzc_crash,66,146,4,9,41,18,5,1,13,4,5,0,4,42,0.02739726,0.061643835,0.28082192,0.12328767,0.034246575,0.006849315,0.0890411,0.02739726,0.034246575,0.0,0.02739726,0.28767124,other,0.28767124,0.7123288,0.7731390396801306,11
14allor,67,7,0,0,1,1,0,0,0,0,0,0,0,5,0.0,0.0,0.14285715,0.14285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71428573,other,0.71428573,0.28571427,0.320459392939435,3
Banemus,68,31,6,15,0,0,0,3,0,2,0,0,0,5,0.19354838,0.48387095,0.0,0.0,0.0,0.09677419,0.0,0.06451613,0.0,0.0,0.0,0.16129032,amerithrash_miniatures_lcg,0.48387095,0.8387097,0.5498093879352476,5
Caloypogi12301989,69,118,19,4,1,7,3,12,7,24,7,3,1,30,0.16101696,0.033898305,0.008474576,0.059322033,0.025423728,0.10169491,0.059322033,0.20338982,0.059322033,0.025423728,0.008474576,0.2542373,other,0.2542373,0.7457627,0.8385111685936089,12
Dominik91,70,9,0,0,0,3,0,0,3,0,0,0,0,3,0.0,0.0,0.0,0.33333334,0.0,0.0,0.33333334,0.0,0.0,0.0,0.0,0.33333334,current_heavy_euro_engine_builders,0.33333334,0.6666666,0.4421141166795643,3
edsonpb,71,5,0,3,1,0,0,0,0,0,0,0,0,1,0.0,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,amerithrash_miniatures_lcg,0.6,0.8,0.382416994876962,3
elminster41,72,45,1,3,0,1,32,0,0,4,0,0,0,4,0.022222223,0.06666667,0.0,0.022222223,0.7111111,0.0,0.0,0.08888889,0.0,0.0,0.0,0.08888889,historical_wargames_conflict_strategy,0.7111111,0.9111111,0.41146255390561093,6
farmergiles,73,347,18,23,42,53,4,26,38,19,22,2,1,99,0.0518732,0.06628242,0.12103746,0.15273775,0.011527377,0.074927956,0.10951009,0.054755043,0.063400574,0.0057636886,0.0028818443,0.28530258,other,0.28530258,0.7146974,0.8459495320287119,12
gabrieln,74,45,0,8,24,0,2,0,0,1,3,0,0,7,0.0,0.17777778,0.53333336,0.0,0.044444446,0.0,0.0,0.022222223,0.06666667,0.0,0.0,0.15555556,dungeon_crawl_cooperative_campaign_adventure,0.53333336,0.84444445,0.5373552191535912,6
