bgg_id,name,overall_rank,community,manual_label,community_type,average_rating,average_weight,owned,year_published,degree,weighted_degree_strength,betweenness,weighted_clustering,degree_rank,strength_rank,betweenness_rank
295488,Andor: The Family Fantasy Game,2089,25,Party / family / social deduction,taste_cross_over,7.25881,1.9062,4505,2020,111,21.748727753758427,0.0,0.027169526175819827,701,1691,175
419704,Phoenix New Horizon,2090,2,Current heavy euro engine builders,taste_specialist,7.78631,3.2143,2205,2024,117,24.43889085948467,0.0,0.027302766769146513,601,1523,175
252446,Key Flow,2091,8,Medium worker-placement euros,taste_specialist,7.29033,2.9211,3116,2018,58,12.093983829021452,0.0,0.03691249788528778,2478,2308,175
420914,Iliad,2092,19,Recent releases / new-hotness cluster,temporal_artifact,7.67135,2.0588,2813,2025,87,19.99126641452312,0.0,0.029949023449932898,1618,1819,175
1219,Labyrinth,2093,25,Party / family / social deduction,taste_cross_over,6.40842,1.3448,34374,1986,152,99.74041248857975,0.0,0.04616543222557338,388,392,175
22348,Duplik,2094,25,Party / family / social deduction,taste_cross_over,6.97469,1.2105,4349,2005,82,13.519223295152184,0.0,0.0295503268259314,1861,2227,175
321277,Tinners' Trail (Second Edition),2096,2,Current heavy euro engine builders,taste_specialist,7.09704,2.875,4274,2021,74,23.178925707936283,0.0,0.04590644308109356,2194,1592,175
317311,Switch & Signal,2097,17,Roll-and-write / number dice games,taste_cross_over,7.09362,2.0926,4046,2020,70,15.477255716919897,0.0,0.03745791309305498,2302,2094,175
217083,LYNGK,2098,10,BGG Golden Age canon,temporal_canon,7.57036,2.7436,2903,2017,77,19.206194177269932,0.0,0.03506414281240626,2078,1876,175
57660,Time's Up! Edición Azul,2099,28,Real-time cooperative micro-cluster,taste_cross_over,7.4023,1.2203,2383,2006,86,8.21356005966663,0.0,0.01940766559260435,1673,2459,175
403265,Marabunta,2100,35,Cooperative trick-taking + deduction,taste_cross_over,7.43097,2.1875,3444,2023,90,20.659731194376942,0.0,0.030714162918765567,1445,1769,175
165948,Mangrovia,2102,8,Medium worker-placement euros,taste_specialist,7.15108,2.4368,2378,2014,66,8.157468266785141,0.0,0.02320001494421315,2389,2460,175
330084,Unlock!: Legendary Adventures,2105,37,Escape-room / Unlock series cluster,franchise_series,7.47734,2.25,3581,2021,99,19.597647160291668,0.0,0.02920798178033025,1042,1846,175
208895,New York Slice,2107,25,Party / family / social deduction,taste_cross_over,6.66362,1.4576,6262,2017,84,21.923742994666096,0.0,0.04192597555942362,1764,1679,175
41933,Arctic Scavengers,2109,9,Amerithrash / miniatures / LCG,taste_specialist,6.73524,2.2667,3947,2009,71,10.961501620709893,0.0,0.028181684531396953,2284,2357,175
27627,Talisman: Revised 4th Edition,2110,9,Amerithrash / miniatures / LCG,taste_specialist,6.50604,2.172,25470,2007,116,57.11291800439358,0.0,0.0482928315705043,617,679,175
5072,Carrom,2111,10,BGG Golden Age canon,temporal_canon,7.09728,1.4621,2333,0,59,6.221148967742917,0.0,0.022837221571656446,2466,2493,175
351538,Bamboo,2112,2,Current heavy euro engine builders,taste_specialist,7.07484,2.9109,5026,2023,81,18.506059810519215,0.0,0.03873538894313742,1907,1923,175
41010,My First Carcassonne,2113,25,Party / family / social deduction,taste_cross_over,6.6539,1.1281,10377,2009,106,35.711061865091324,0.0,0.04381570731393824,801,1058,175
358085,Village Rails,2114,0,Terraforming Mars universal-appeal micro-cluster,bridge_singleton,7.21121,2.1628,3359,2022,70,17.468791142106053,0.0,0.04268090236696946,2302,1978,175
248005,Ganymede,2115,24,Ark Nova universal-appeal micro-cluster,bridge_singleton,7.10961,2.25,3932,2018,69,11.21449194103479,0.0,0.030709573068112783,2330,2344,175
423,1856: Railroading in Upper Canada from 1856,2116,20,Historical wargames + conflict strategy,taste_specialist,7.46635,4.2529,1828,1995,117,19.994450502097603,0.0,0.017801994712096356,601,1817,175
24310,The Red Dragon Inn,2117,9,Amerithrash / miniatures / LCG,taste_specialist,6.54501,1.6609,16666,2007,96,29.560329407453533,0.0003923138510808647,0.04228651906372102,1154,1299,128
13308,Niagara,2118,10,BGG Golden Age canon,temporal_canon,6.45506,1.8342,11672,2004,89,36.865707486867905,0.0,0.05169901808641855,1506,1023,175
3800,Himalaya,2119,10,BGG Golden Age canon,temporal_canon,6.98856,2.569,2328,2004,83,10.377426743507382,0.0,0.018469132540984545,1813,2387,175
157917,The Lord of the Ice Garden,2121,8,Medium worker-placement euros,taste_specialist,7.60929,4.0752,2368,2014,109,15.415551692247385,0.0,0.020325525276011957,746,2096,175
12750,1860: Railways on the Isle of Wight,2122,20,Historical wargames + conflict strategy,taste_specialist,7.82451,4.129,1959,2004,106,28.92609272897243,0.0,0.02669393975972695,801,1319,175
267378,Chakra,2123,13,Puzzle / nature tableau builders,taste_cross_over,6.86033,1.7586,4479,2019,83,16.12789203226566,0.0,0.03323697898652968,1813,2060,175
324914,Inside Job,2124,35,Cooperative trick-taking + deduction,taste_cross_over,6.99205,1.6604,4694,2022,83,23.702003046870228,0.0,0.03892774458427377,1813,1566,175
337,Circus Flohcati,2125,10,BGG Golden Age canon,temporal_canon,6.70208,1.2314,5982,1998,78,28.80135530233383,0.0,0.04642909165492514,2035,1323,175
6901,Euchre,2127,10,BGG Golden Age canon,temporal_canon,6.86267,1.6914,2482,1848,101,10.435760580003256,0.0,0.018404875549275605,966,2382,175
439305,Flamecraft Duals,2128,13,Puzzle / nature tableau builders,taste_cross_over,7.99501,1.7586,4701,2025,96,22.80746094882488,0.0,0.03168336021131981,1154,1618,175
34297,The Climbers,2130,10,BGG Golden Age canon,temporal_canon,6.7445,1.7623,4420,2008,74,17.944549128413197,0.0,0.03601897013071946,2194,1950,175
397736,Hitster: Guilty Pleasures,2133,19,Recent releases / new-hotness cluster,temporal_artifact,7.45553,1.0476,4541,2023,89,21.413178995251652,0.0,0.036051469869731394,1506,1712,175
903,Hamster Roll,2134,10,BGG Golden Age canon,temporal_canon,6.85309,1.0719,3194,2000,61,13.50765350461006,0.0,0.03755049067325792,2448,2229,175
274450,Last Aurora,2136,12,Dungeon crawl / cooperative campaign adventure,taste_specialist,7.26599,2.7949,3892,2020,65,10.946174636483189,0.0,0.029351399111603456,2408,2360,175
172996,The King Is Dead,2137,10,BGG Golden Age canon,temporal_canon,7.09879,2.4478,2337,2015,71,9.651664830744263,0.0,0.024590681044209663,2284,2413,175
27225,Bananagrams,2138,25,Party / family / social deduction,taste_cross_over,6.42347,1.2878,30341,2006,116,79.62410142272711,0.0,0.06898890644890576,617,474,175
220792,The Expanse Board Game,2140,4,Legacy + narrative mystery,shared_culture,7.16065,2.8182,3234,2017,72,14.455806881189345,0.0,0.03504297950911502,2261,2159,175
400995,Perspectives,2141,19,Recent releases / new-hotness cluster,temporal_artifact,7.64187,1.84,2772,2023,82,10.00485239177942,0.0,0.021878079999374408,1861,2404,175
1107,Nyet!,2142,10,BGG Golden Age canon,temporal_canon,6.77937,1.8952,5014,1997,65,16.20612289011478,0.0,0.043409432137502896,2408,2054,175
317582,Mythwind,2145,12,Dungeon crawl / cooperative campaign adventure,taste_specialist,7.51912,2.7705,5508,2023,90,23.013026550412174,0.0,0.03527500672644623,1445,1605,175
269725,Corinth,2146,17,Roll-and-write / number dice games,taste_cross_over,6.74518,1.6508,6314,2019,78,21.951840996742245,0.0,0.04338894340313151,2035,1676,175
329716,Eleven: Football Manager Board Game,2147,12,Dungeon crawl / cooperative campaign adventure,taste_specialist,7.18556,3.3495,4016,2022,74,17.03974242508411,0.0,0.03823652872474496,2194,2007,175
271519,Ecosystem,2148,13,Puzzle / nature tableau builders,taste_cross_over,7.04383,1.6207,4756,2019,90,17.437191918492314,0.0,0.032097645775945004,1445,1980,175
330174,Explorers,2150,13,Puzzle / nature tableau builders,taste_cross_over,7.11601,1.8833,4071,2021,69,13.134708181023596,0.0,0.03466086400601277,2330,2251,175
390173,Mindbug: Beyond Evolution,2151,19,Recent releases / new-hotness cluster,temporal_artifact,8.06265,2.0769,4168,2023,84,23.034855529665943,0.0,0.03829564390790827,1764,1602,175
526,Abalone,2152,10,BGG Golden Age canon,temporal_canon,6.48862,2.1476,14273,1987,79,33.46443322300911,0.0,0.05910420018763717,1990,1134,175
381246,S.T.A.L.K.E.R. The Board Game,2153,12,Dungeon crawl / cooperative campaign adventure,taste_specialist,8.6333,3.831,3491,2025,85,15.349635325372216,0.0,0.026188041188635835,1719,2099,175
446493,Recall,2154,2,Current heavy euro engine builders,taste_specialist,8.10057,3.6667,1293,2025,111,19.795378036797043,0.0,0.025324448391330797,701,1831,175
159581,Maskmen,2155,35,Cooperative trick-taking + deduction,taste_cross_over,6.95399,1.7778,4994,2014,101,36.51209279894829,0.0,0.038557652089709134,966,1033,175
241831,Reykholt,2157,8,Medium worker-placement euros,taste_specialist,6.68618,2.1649,7093,2018,81,24.921199828386303,0.0,0.04724630269004814,1907,1497,175
205046,Capital Lux,2158,25,Party / family / social deduction,taste_cross_over,6.96005,1.9851,3111,2016,80,11.556912370026108,0.0,0.026008070353281426,1956,2330,175
32125,Felicity: The Cat in the Sack,2160,10,BGG Golden Age canon,temporal_canon,6.56486,1.3958,6102,2007,68,19.95333059132099,0.0,0.047533338579940944,2346,1821,175
345266,Tales from the Red Dragon Inn,2161,12,Dungeon crawl / cooperative campaign adventure,taste_specialist,8.37918,2.6452,3133,2023,104,15.694830067455765,0.0,0.021856748293856122,865,2085,175
182189,Treasure Hunter,2162,42,,tiny_fragment,6.74511,1.8929,5560,2015,67,14.65783743560314,0.0,0.040461313738643805,2373,2142,175
158900,Samurai Spirit,2163,25,Party / family / social deduction,taste_cross_over,6.57809,2.133,8484,2014,78,19.058869987726208,0.0,0.03957136370301164,2035,1887,175
266964,Dice Throne: Season Two – Seraph v. Vampire Lord,2165,12,Dungeon crawl / cooperative campaign adventure,taste_specialist,7.74357,2.2222,4147,2018,84,13.551260881125923,0.0,0.02422787850487607,1764,2223,175
266965,Dice Throne: Season Two – Tactician v. Huntress,2166,12,Dungeon crawl / cooperative campaign adventure,taste_specialist,7.70808,2.375,4042,2018,77,12.807105056941506,0.0,0.024866565399134614,2078,2270,175
263895,City of the Great Machine,2167,2,Current heavy euro engine builders,taste_specialist,7.67296,3.64,3563,2023,82,17.246279060840603,0.0,0.0320885776983615,1861,1994,175
230303,Unlock!: Mystery Adventures – The House on the Hill,2169,25,Party / family / social deduction,taste_cross_over,6.95566,1.8,3715,2017,91,9.004613444209095,0.0,0.020139229543013726,1400,2434,175
349750,Molly House,2170,20,Historical wargames + conflict strategy,taste_specialist,7.37629,3.7383,3055,2025,105,30.047661960124966,0.0,0.03496213199205995,829,1278,175
210274,Petrichor,2171,2,Current heavy euro engine builders,taste_specialist,6.87847,3.0505,5586,2018,74,17.25329256057739,0.0,0.0391074895692101,2194,1993,175
299963,Picture Perfect,2173,13,Puzzle / nature tableau builders,taste_cross_over,6.95329,1.84,5040,2020,66,13.475276485085486,0.0,0.036617726929444885,2389,2231,175
180199,"Colonial Twilight: The French-Algerian War, 1954-62",2174,20,Historical wargames + conflict strategy,taste_specialist,7.63568,3.8824,3352,2017,117,26.507519274950024,0.0,0.021164808324736873,601,1418,175
203430,Fuji Flush,2175,10,BGG Golden Age canon,temporal_canon,6.65124,1.0972,6283,2016,81,34.2300862967968,0.0,0.058857836860027664,1907,1102,175
273910,Stars of Akarios,2176,12,Dungeon crawl / cooperative campaign adventure,taste_specialist,7.98794,2.9286,3391,2022,96,20.735117629170414,0.0,0.025385782400959612,1154,1759,175
227466,Break the Code,2177,35,Cooperative trick-taking + deduction,taste_cross_over,7.05121,1.7143,3510,2017,93,18.192556321620938,0.0,0.032333132187830196,1285,1933,175
