tag_kind,tag,n_games,binary_modularity
category,Mature / Adult,8,3.9907174319910546e-05
mechanic,Advantage Token,15,3.915355461624992e-05
mechanic,Finale Ending,10,3.8891134663819766e-05
mechanic,Lose a Turn,9,3.843987858431455e-05
category,American Civil War,7,3.834018852203483e-05
category,Music,10,3.773416093851958e-05
mechanic,Area-Impulse,6,3.545322799564655e-05
category,Travel,39,3.4272610992546935e-05
mechanic,Static Capture,13,3.403670869300832e-05
mechanic,Bias,25,3.0257093056991683e-05
mechanic,Selection Order Bid,14,2.9826286401748097e-05
category,American Indian Wars,7,2.981281732923046e-05
mechanic,Stacking and Balancing,13,2.9790073275496552e-05
mechanic,Multiple Maps,24,2.957587966316289e-05
mechanic,Turn Order: Random,10,2.8491667819905884e-05
mechanic,Flicking,17,2.6494335605433506e-05
category,Memory,12,2.6197646495199206e-05
category,American Revolutionary War,5,2.525867990211785e-05
mechanic,Ordering,14,2.517100796126684e-05
category,World War I,5,2.5168725267820817e-05
category,Aviation / Flight,24,2.458125020785708e-05
mechanic,Spelling,5,2.134510901831503e-05
mechanic,Acting,15,2.0779278497406667e-05
mechanic,Elapsed Real Time Ending,16,2.06271972664624e-05
mechanic,Closed Economy Auction,6,2.006265510998755e-05
mechanic,Auction: Dutch,22,1.9639275138055384e-05
category,Maze,16,1.930157163302713e-05
category,Arabian,16,1.8299260637049048e-05
mechanic,Map Deformation,18,1.3664760459834728e-05
mechanic,Prisoner's Dilemma,5,1.2055590568251612e-05
mechanic,Matching,9,1.147808869951567e-05
mechanic,Drawing,6,8.831855783898045e-06
mechanic,"I Cut, You Choose",14,8.48801724420027e-06
mechanic,Auction: Multiple Lot,9,7.350579798893313e-06
mechanic,Resource Queue,7,6.10351389267018e-06
mechanic,Measurement Movement,6,5.800687211610436e-06
mechanic,Minimap Resolution,9,4.847834127143558e-06
mechanic,Chit-Pull System,6,1.4052142205234435e-06
mechanic,Single Loser Game,5,2.289998949994543e-07
category,Book,3,-6.012843721299326e-08
mechanic,Action Timer,3,-1.2735180176370222e-07
mechanic,Auction: Dutch Priority,4,-5.858758345196524e-07
mechanic,Moving Multiple Units,3,-7.178303419919209e-07
mechanic,Player Judge,4,-8.114724734676816e-07
mechanic,Different Dice Movement,4,-8.803972542055303e-07
mechanic,Auction Compensation,6,-1.9608086112175586e-06
mechanic,Physical Removal,4,-1.9787606657759435e-06
mechanic,Cube Tower,9,-2.1748581439821843e-06
mechanic,Pieces as Map,10,-2.7577012036527025e-06
mechanic,Programmed Movement,15,-3.1013453866598475e-06
category,Electronic,6,-3.102692072129247e-06
mechanic,Questions and Answers,3,-3.483031938583372e-06
category,Mafia,13,-3.5050592686509674e-06
category,Math,9,-3.935903135012764e-06
mechanic,Rock-Paper-Scissors,12,-5.683347669382e-06
mechanic,Auction: Fixed Placement,10,-5.876131770209291e-06
mechanic,Bids As Wagers,4,-5.908331694218324e-06
mechanic,Relative Movement,5,-7.185533838850861e-06
mechanic,Highest-Lowest Scoring,18,-9.559392802928653e-06
mechanic,Hot Potato,9,-1.5043232685299815e-05
mechanic,Slide / Push,20,-1.5669322766224753e-05
mechanic,Random Production,16,-1.897851793684774e-05
mechanic,Increase Value of Unchosen Resources,43,-3.3639988664400586e-05
mechanic,Turn Order: Time Track,20,-3.778999094159958e-05
mechanic,Enclosure,45,-3.840917506829134e-05
mechanic,Catch the Leader,29,-7.466078715166855e-05
category,Pirates,36,-7.652857095081492e-05
mechanic,King of the Hill,17,-9.648038532775131e-05
mechanic,Zone of Control,23,-0.00010313983986065509
mechanic,Force Commitment,17,-0.00011968917740241012
mechanic,Action Queue,85,-0.0001789454428982604
mechanic,Neighbor Scope,13,-0.00018868078430347713
mechanic,Closed Drafting,76,-0.00024466343209508974
mechanic,Kill Steal,18,-0.0002862565852439509
mechanic,Hidden Victory Points,44,-0.0003609852625590282
mechanic,Delayed Purchase,45,-0.00041968107082697003
mechanic,Melding and Splaying,27,-0.00043780447076156794
category,Territory Building,166,-0.0005374961831381316
mechanic,Sudden Death Ending,46,-0.0006163522266891654
mechanic,Race,148,-0.0006216529859853423
mechanic,Chaining,37,-0.0013541091099245066
mechanic,Turn Order: Progressive,90,-0.0017030125186612392
mechanic,Score-and-Reset Game,51,-0.0018749202237733284
mechanic,Once-Per-Game Abilities,49,-0.0022478322394061823
mechanic,Multi-Use Cards,113,-0.0037509389044031883
mechanic,Tags,85,-0.005207892259066472
mechanic,Variable Set-up,339,-0.008131343199974467
