level_0,level_1,seed,n_communities,modularity,representative,median_pairwise_nmi,seed_i,seed_j,nmi
pairwise,103,,,,,,6.0,11.0,0.7185429656573962
pairwise,104,,,,,,6.0,12.0,0.776818808266024
pairwise,105,,,,,,6.0,13.0,0.7726401631433955
pairwise,106,,,,,,6.0,14.0,0.7974222129898284
pairwise,107,,,,,,6.0,15.0,0.6846561051328792
pairwise,108,,,,,,6.0,16.0,0.7999806479532188
pairwise,109,,,,,,6.0,17.0,0.7742985867145578
pairwise,110,,,,,,6.0,18.0,0.7677363354040884
pairwise,111,,,,,,6.0,19.0,0.7300864116388502
pairwise,112,,,,,,7.0,8.0,0.6873464132467949
pairwise,113,,,,,,7.0,9.0,0.7170230686878113
pairwise,114,,,,,,7.0,10.0,0.7470218274712696
pairwise,115,,,,,,7.0,11.0,0.6646475631914947
pairwise,116,,,,,,7.0,12.0,0.704977331649081
pairwise,117,,,,,,7.0,13.0,0.6897232710630069
pairwise,118,,,,,,7.0,14.0,0.7149314987134419
pairwise,119,,,,,,7.0,15.0,0.7137281892064252
pairwise,120,,,,,,7.0,16.0,0.7186500634758551
pairwise,121,,,,,,7.0,17.0,0.6856635884487153
pairwise,122,,,,,,7.0,18.0,0.6863924082003285
pairwise,123,,,,,,7.0,19.0,0.7508275089315765
pairwise,124,,,,,,8.0,9.0,0.7903761291128819
pairwise,125,,,,,,8.0,10.0,0.6984521483707437
pairwise,126,,,,,,8.0,11.0,0.7461686240666168
pairwise,127,,,,,,8.0,12.0,0.8050943995932213
pairwise,128,,,,,,8.0,13.0,0.8153654865335302
pairwise,129,,,,,,8.0,14.0,0.7729715971911166
pairwise,130,,,,,,8.0,15.0,0.7399213757759131
pairwise,131,,,,,,8.0,16.0,0.794610191063691
pairwise,132,,,,,,8.0,17.0,0.8034192076445007
pairwise,133,,,,,,8.0,18.0,0.8290306771240693
pairwise,134,,,,,,8.0,19.0,0.7117839910649686
pairwise,135,,,,,,9.0,10.0,0.7184922004245052
pairwise,136,,,,,,9.0,11.0,0.7452409010886603
pairwise,137,,,,,,9.0,12.0,0.770476113386754
pairwise,138,,,,,,9.0,13.0,0.7776428067683578
pairwise,139,,,,,,9.0,14.0,0.8359307634489701
pairwise,140,,,,,,9.0,15.0,0.7061607771136728
pairwise,141,,,,,,9.0,16.0,0.7848074353014052
pairwise,142,,,,,,9.0,17.0,0.7491939344299846
pairwise,143,,,,,,9.0,18.0,0.7811049430658418
pairwise,144,,,,,,9.0,19.0,0.7322694104575762
pairwise,145,,,,,,10.0,11.0,0.6509054069664834
pairwise,146,,,,,,10.0,12.0,0.6967197146514313
pairwise,147,,,,,,10.0,13.0,0.7016853410919615
pairwise,148,,,,,,10.0,14.0,0.7007398285955119
pairwise,149,,,,,,10.0,15.0,0.7283998228927224
pairwise,150,,,,,,10.0,16.0,0.6904983712565681
pairwise,151,,,,,,10.0,17.0,0.690617079332371
pairwise,152,,,,,,10.0,18.0,0.6926423215373728
pairwise,153,,,,,,10.0,19.0,0.7089770795875218
pairwise,154,,,,,,11.0,12.0,0.8027765256680487
pairwise,155,,,,,,11.0,13.0,0.7772472033635364
pairwise,156,,,,,,11.0,14.0,0.7614509606662662
pairwise,157,,,,,,11.0,15.0,0.719216823175085
pairwise,158,,,,,,11.0,16.0,0.7198106877160976
pairwise,159,,,,,,11.0,17.0,0.7611513214605529
pairwise,160,,,,,,11.0,18.0,0.7591130304356092
pairwise,161,,,,,,11.0,19.0,0.6910332438892063
pairwise,162,,,,,,12.0,13.0,0.829808617836067
pairwise,163,,,,,,12.0,14.0,0.77842008142925
pairwise,164,,,,,,12.0,15.0,0.760256813685221
pairwise,165,,,,,,12.0,16.0,0.7748046117625481
pairwise,166,,,,,,12.0,17.0,0.8286909407908138
pairwise,167,,,,,,12.0,18.0,0.8020018199301077
pairwise,168,,,,,,12.0,19.0,0.7173394631942589
pairwise,169,,,,,,13.0,14.0,0.7827726089364826
pairwise,170,,,,,,13.0,15.0,0.7651991274277223
pairwise,171,,,,,,13.0,16.0,0.7643288686433296
pairwise,172,,,,,,13.0,17.0,0.8420505981131853
